TenChungCu,GiaTrenM2,District,Ward,latitude,longitude,Quan_huyen_goc,Phuong_xa,Quan_huyen,dist_hospital_m,dist_mall_m,dist_metro_m,dist_university_m,Dien_tich_km2,SoChungCu,MatDoChungCu,hospital_cnt,mall_cnt,metro_cnt,university_cnt,price_segment,dist_hospital_discrete,dist_mall_discrete,dist_metro_discrete,dist_university_discrete,district_discrete
Thủ Thiêm Xanh,54.97,Quận 2,Phường Bình Trưng Đông,10.796,106.765,Quận 2,An Phú,Thành phố Thủ Đức,1043.567358168414,855.8087473787018,1749.0393786421546,2935.7626550959235,10.217398556534652,42,4.110635380190629,2,2,1,0,Trung bình,Gần,Gần,Xa,Xa,Quận 2
An Lộc - An Phúc,61.21,Quận 2,Phường An Phú,10.795,106.741,Quận 2,An Phú,Thành phố Thủ Đức,459.6347493937227,815.0143561092633,800.8706739409906,1599.5372243495435,10.217398556534652,42,4.110635380190629,2,2,1,0,Trung bình,Gần,Gần,Gần,Xa,Quận 2
An Phú - An Khánh,65.25,Quận 2,Phường An Phú,10.795,106.741,Quận 2,An Phú,Thành phố Thủ Đức,459.6347493937227,815.0143561092633,800.8706739409906,1599.5372243495435,10.217398556534652,42,4.110635380190629,2,2,1,0,Trung bình,Gần,Gần,Gần,Xa,Quận 2
Căn hộ Bình Khánh,50.42,Quận 2,Phường An Phú,10.795,106.741,Quận 2,An Phú,Thành phố Thủ Đức,459.6347493937227,815.0143561092633,800.8706739409906,1599.5372243495435,10.217398556534652,42,4.110635380190629,2,2,1,0,Trung bình,Gần,Gần,Gần,Xa,Quận 2
Căn hộ D’Lusso,85.75,Quận 2,Phường An Phú,10.795,106.741,Quận 2,An Phú,Thành phố Thủ Đức,459.6347493937227,815.0143561092633,800.8706739409906,1599.5372243495435,10.217398556534652,42,4.110635380190629,2,2,1,0,Cao,Gần,Gần,Gần,Xa,Quận 2
Căn hộ Precia Quận 2,81.62,Quận 2,Phường An Phú,10.795,106.741,Quận 2,An Phú,Thành phố Thủ Đức,459.6347493937227,815.0143561092633,800.8706739409906,1599.5372243495435,10.217398556534652,42,4.110635380190629,2,2,1,0,Cao,Gần,Gần,Gần,Xa,Quận 2
Cantavil An Phú - Cantavil Premier,87.01,Quận 2,Phường An Phú,10.795,106.741,Quận 2,An Phú,Thành phố Thủ Đức,459.6347493937227,815.0143561092633,800.8706739409906,1599.5372243495435,10.217398556534652,42,4.110635380190629,2,2,1,0,Cao,Gần,Gần,Gần,Xa,Quận 2
Cao ốc An Khang,68.43,Quận 2,Phường An Phú,10.795,106.741,Quận 2,An Phú,Thành phố Thủ Đức,459.6347493937227,815.0143561092633,800.8706739409906,1599.5372243495435,10.217398556534652,42,4.110635380190629,2,2,1,0,Trung bình,Gần,Gần,Gần,Xa,Quận 2
Centana Thủ Thiêm,73.09,Quận 2,Phường An Phú,10.795,106.741,Quận 2,An Phú,Thành phố Thủ Đức,459.6347493937227,815.0143561092633,800.8706739409906,1599.5372243495435,10.217398556534652,42,4.110635380190629,2,2,1,0,Trung bình,Gần,Gần,Gần,Xa,Quận 2
Chung cư An Hòa,70.92,Quận 2,Phường An Phú,10.795,106.741,Quận 2,An Phú,Thành phố Thủ Đức,459.6347493937227,815.0143561092633,800.8706739409906,1599.5372243495435,10.217398556534652,42,4.110635380190629,2,2,1,0,Trung bình,Gần,Gần,Gần,Xa,Quận 2
Chung cư An Thịnh,69.76,Quận 2,Phường An Phú,10.795,106.741,Quận 2,An Phú,Thành phố Thủ Đức,459.6347493937227,815.0143561092633,800.8706739409906,1599.5372243495435,10.217398556534652,42,4.110635380190629,2,2,1,0,Trung bình,Gần,Gần,Gần,Xa,Quận 2
Eaton Park,165.5,Quận 2,Phường An Phú,10.795,106.741,Quận 2,An Phú,Thành phố Thủ Đức,459.6347493937227,815.0143561092633,800.8706739409906,1599.5372243495435,10.217398556534652,42,4.110635380190629,2,2,1,0,Rất cao,Gần,Gần,Gần,Xa,Quận 2
